Estado,X,Y
AMAZONAS,-279.0,285.0
ACRE,-477.0,151.0
PARÁ,13.0,261.0
RORAIMA,-195.0,479.0
AMAPÁ,57.0,442.0
RONDÔNIA,-268.0,89.0
MATO GROSSO,-69.0,46.0
TOCANTINS,113.0,96.0
MATO GROSSO DO SUL,-63.0,-143.0
GOIÁS,81.0,-50.0
RIO GRANDE DO SUL,-39.0,-383.0
SANTA CATARINA,95.0,-341.0
PARANÁ,5.0,-268.0
SÃO PAULO,95.0,-193.0
MINAS GERAIS,203.0,-88.0
ESPÍRITO SANTO,355.0,-144.0
RIO DE JANEIRO,285.0,-212.0
BAHIA,257.0,59.0
PIAUÍ,240.0,170.0
MARANHÃO,210.0,345.0
CEARÁ,351.0,265.0
RIO GRANDE DO NORTE,450.0,257.0
PARAÍBA,449.0,199.0
PERNAMBUCO,365.0,174.0
ALAGOAS,463.0,137.0
SERGIPE,427.0,107.0
